@relation 'XXXXXXL2 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6'

@attribute 'kwota kredytu' {'\'All\''}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' {'\'All\''}
@attribute 'miesieczny dochod netto' {'\'(-inf-546.26]\'','\'(546.26-inf)\''}
@attribute 'ktore rolowanie' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'okres w jakim pobieral dochod' {'\'(-inf-5.5]\'','\'(5.5-inf)\''}
@attribute 'okres w jakim bedzie pobieral dochod' {'\'All\''}
@attribute 'status pozyczki' {dobry,zly}

@data
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(-inf-5.5]\'','\'All\'',zly
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(-inf-5.5]\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(-inf-5.5]\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(-inf-5.5]\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(-inf-5.5]\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(-inf-5.5]\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(67.6-inf)\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(-inf-5.5]\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(-inf-5.5]\'','\'All\'',zly
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(67.6-inf)\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(-inf-5.5]\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(-inf-30.4]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(30.4-42.8]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',zly
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'(-inf-5.5]\'','\'All\'',zly
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(55.2-67.6]\'',mezczyzna,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
'\'All\'','\'(42.8-55.2]\'',kobieta,'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'(5.5-inf)\'','\'All\'',dobry
